,name,city,income,credit_score,loan_amount,years_employed,points,loan_approved
417,Jamie Montoya,South Seanshire,99615,758,6768,31,90.0,True
418,Bryan Jimenez,North Richardton,50635,300,6956,38,45.0,False
419,Marcia Wu,Lake Emily,37455,649,24812,3,30.0,False
420,Sarah Rivera,Moranstad,96562,763,8472,6,85.0,True
421,Courtney Peterson,Amystad,40500,408,4000,10,40.0,False
422,Rodney Newton MD,Cherylborough,141587,423,26748,13,55.0,False
423,Richard Love,Port Robertshire,54356,426,30524,29,35.0,False
424,Tina Taylor,Smithton,38981,743,39346,30,60.0,True
425,Priscilla Kent,Lake Lisa,107992,406,26389,38,55.0,False
426,Erica Keith,Pettybury,38907,580,27074,21,40.0,False
427,Jodi Anderson,Morrisonhaven,118501,606,46973,35,65.0,True
428,Michelle Walls,East Jason,142960,597,45997,22,65.0,True
429,Brandi Page,New Amy,60828,630,47553,7,45.0,False
430,Kristina Aguilar,Craigside,82923,592,28681,0,45.0,False
431,Allison Thomas,East Josephburgh,45713,593,45786,16,40.0,False
432,Antonio Mueller,Port Amber,146691,667,30661,6,65.0,True
433,Megan Hoffman,Lake Deborah,104668,698,16571,32,80.0,True
434,Rebecca Roberts,South Paulmouth,62271,355,1849,16,50.0,False
435,Sean Dalton,Greerstad,105880,501,48507,12,45.0,False
436,Christopher Fleming,East Jill,107924,422,25720,2,45.0,False
437,Justin Anderson,Adammouth,35209,458,3617,9,30.0,False
438,Linda Ayala,Tracyshire,111183,666,5776,20,75.0,True
439,Tina Meyer,South Amy,40745,713,7025,22,60.0,True
440,Daniel Rivera,Kellyhaven,84948,786,37787,0,60.0,True
441,Gregory Allen,North Felicia,116163,628,25993,7,65.0,True
442,Joshua Campbell,Williehaven,106503,756,32903,2,75.0,True
443,Matthew Flores,North Garyside,104085,846,1480,40,100.0,True
444,Michael Ayala,Houstonborough,98522,850,47054,27,80.0,True
445,Teresa Burgess,North Stephen,71467,639,3482,5,60.0,True
446,Christopher King,New Lorraineview,64179,717,26430,28,60.0,True
447,Jessica Smith,New Adamland,56772,346,46933,4,25.0,False
448,Jonathan Roberts,Catherineport,117782,748,25996,25,90.0,True
449,Amanda Moore,East Julie,123872,602,42552,9,60.0,True
450,Stephen Sanford,Susantown,71180,444,9076,2,35.0,False
451,Kyle Medina,West Jasonstad,61285,516,28043,32,35.0,False
452,Clinton Jensen,Jamesburgh,64814,355,36969,29,35.0,False
453,Angel Powers,Coreyshire,81876,798,22682,22,80.0,True
454,Matthew Garcia,East Louismouth,47154,636,41392,19,40.0,False
455,Brittany Knight,Susanburgh,118039,304,21526,15,55.0,False
456,Michelle Davidson,Maryberg,114607,639,32454,29,65.0,True
457,Raymond Tucker,East Debbieland,69321,587,10175,34,60.0,True
458,Nicholas Sims,North Melissatown,89929,714,39668,13,65.0,True
459,Kristen Stephens,Valdezberg,71441,674,26722,14,65.0,True
460,Leah Vincent,South Walter,128548,392,27003,23,55.0,False
461,Mary Charles,Port Willie,39508,756,11434,11,65.0,True
462,Krystal Brennan,Lake Jessica,31220,667,3648,14,50.0,False
463,Crystal Baker,North Elizabeth,90068,830,24674,24,85.0,True
464,Jesse Williams,Dakotahaven,111416,580,49621,16,60.0,True
465,Laura Bennett,Diazland,103792,829,17487,24,95.0,True
466,Courtney Sullivan,Tommyfort,43104,306,33888,8,20.0,False
467,David Robertson,Jasonburgh,39602,461,24738,38,25.0,False
468,Bailey Hall,Jenniferfort,100468,790,32393,13,85.0,True
469,Maria Jenkins,North David,57938,464,9829,40,45.0,False
470,Stephanie Thomas,West Sandra,96307,829,27571,38,85.0,True
471,Marcia Johns,Staceyborough,64760,759,40749,30,70.0,True
472,Carolyn Greer,Port Brandi,47361,486,41842,32,25.0,False
473,Nathaniel Cooper,Carlsonland,75745,535,25786,24,45.0,False
474,Alan Mills,Serranoville,145456,481,32186,39,55.0,False
475,Sherry Schmidt,North Timothyberg,39016,301,45470,27,25.0,False
476,Jacqueline Williams,Perezfort,145247,690,23971,37,80.0,True
477,Susan Hood,South Dennisfort,62018,538,6493,18,45.0,False
478,Kimberly Scott,Lake Juliatown,78434,835,8722,33,90.0,True
479,Matthew Watts,Robertville,67353,458,28923,37,35.0,False
480,Scott Henderson,Cherylfurt,50676,508,28081,35,35.0,False
481,Karen Wood,Kingport,87433,652,47235,25,55.0,False
482,Sarah Hopkins,South Krista,139280,465,7571,13,60.0,True
483,Rachel Owen,East Paultown,101200,393,10524,30,55.0,False
484,Bobby Johnson,Ariasfurt,122214,833,19774,38,95.0,True
485,Raymond Thompson,Gonzalesborough,69651,830,19743,12,80.0,True
486,Kyle Black,New Gavin,110173,336,24575,15,55.0,False
487,Vanessa Miller,Kimberlystad,135788,704,27571,37,80.0,True
488,Adrian Padilla,New Justinside,115717,656,23772,17,70.0,True
489,Victor Gibson,Andrewsview,99329,479,27681,32,45.0,False
490,Benjamin Phillips,Port Williamview,31025,850,38676,16,65.0,True
491,Tracy Hart,Port Matthew,117538,769,45668,29,85.0,True
492,Shannon Olson,Carlosbury,137099,535,21691,26,55.0,False
493,Kelli Smith,Johnland,102692,708,45151,21,70.0,True
494,Timothy Woods,Jefferyshire,69240,575,12978,12,45.0,False
495,Mr. Nicolas Salas II,Port John,116951,664,11223,6,70.0,True
496,Blake Sosa,Austinside,43577,343,32607,23,25.0,False
497,Katherine Galloway,Travishaven,145097,586,27075,14,70.0,True
498,Bethany Fox,Mendozaside,47601,333,33930,22,25.0,False
499,Michael Thompson,Lake Aprilmouth,64664,308,1774,13,50.0,False
500,Brian Ward,Jacobview,45129,542,18655,30,25.0,False
501,Grace White,Clarkstad,146616,673,27253,17,80.0,True
502,Kenneth Krause,Port Cory,44029,576,16453,35,30.0,False
503,James Thomas,South Linda,127310,480,28624,31,55.0,False
504,Steven Mccoy,Kristenport,102512,556,37840,36,50.0,False
505,Brett Martin,Port Jonathan,50374,398,30481,21,35.0,False
506,Isaac Grant,Mauricechester,65697,424,24009,38,40.0,False
507,Kenneth Banks,Port Justin,66930,632,45118,32,50.0,False
508,Dr. Steve James,Stevenberg,109276,471,42981,21,50.0,False
509,Logan Sullivan,North Fernandobury,57607,621,21766,18,55.0,False
510,Lisa Foster,Normanstad,124058,833,30510,26,95.0,True
511,Scott Martinez,Lake Johnathan,74942,381,14800,10,45.0,False
512,Brendan Zuniga,Kelleytown,56685,706,35339,5,55.0,False
513,Luke Miller,Parkerbury,120111,590,30042,40,65.0,True
514,Joseph Jackson,Lake Michaelmouth,113130,787,31617,34,85.0,True
515,Kimberly Taylor,New Carla,141792,745,35305,40,90.0,True
516,Emily Reed,Port Christopher,64600,615,24971,26,55.0,False
517,Eric Smith,West Justin,96244,847,1545,31,95.0,True
518,Karen Smith,Yatesbury,94032,307,36927,23,45.0,False
519,Stephen Kim,East Jennifer,62914,699,25796,14,60.0,True
520,Jay Allen,Justinside,148664,575,28060,12,55.0,False
521,Catherine Roberts,Williamsonview,149034,803,13306,20,100.0,True
522,Anthony Nichols,North Julian,140900,428,47871,28,50.0,False
523,Crystal Hernandez,Robinsonchester,36658,619,33662,23,40.0,False
524,Rick Rivera,North Joseph,42097,701,5678,34,60.0,True
525,Corey Skinner,Claytonville,113136,554,26218,28,55.0,False
526,Zachary Gonzalez,New Elizabethborough,85518,784,26501,19,80.0,True
527,Caitlin Chandler,West Timothyport,138704,503,24620,3,45.0,False
528,Claudia Rodriguez,Nguyenburgh,66265,582,39318,7,45.0,False
529,David Novak,Barkerberg,35778,680,6864,15,60.0,True
530,Brandon Montgomery,North Michaelberg,30464,849,8038,8,65.0,True
531,Eugene Grant DDS,Lindamouth,73719,497,2399,24,50.0,False
532,Chad Roach,Mannside,131072,601,36568,31,65.0,True
533,Cody Bailey,Hillside,47146,464,5513,33,35.0,False
534,Edward Baker,Shawnhaven,113507,688,49080,11,70.0,True
535,Lisa Diaz,West Jennifer,64335,696,13443,33,70.0,True
536,Pamela Moore,Marcusmouth,51178,413,7308,33,45.0,False
537,Amanda Pace,Port Anthony,127154,409,32809,12,50.0,False
538,Kenneth Huff,Foxshire,87912,562,4216,23,55.0,False
539,Mitchell Smith,Lake Travis,102309,381,31674,40,50.0,False
540,Justin Hurley,Shortton,122493,572,35669,2,40.0,False
541,Sandra Miller,New Colton,86057,536,35842,24,40.0,False
542,Joseph Wright,New Kara,103519,725,49896,6,65.0,True
543,Laura Craig,Andradeburgh,31267,484,37042,25,25.0,False
544,Mary Ferguson,Mahoneymouth,44663,632,25361,26,40.0,False
545,Jessica Swanson,New Amy,39862,684,37060,16,50.0,False
546,Jesse Moyer,Lake Austinport,145750,316,34922,8,50.0,False
547,Elizabeth Evans MD,Andrewview,120573,823,37459,36,90.0,True
548,Brittney Johnson,Ericview,148479,675,39152,15,75.0,True
549,Robert Davis,Carrollborough,49536,379,48420,20,25.0,False
550,Carrie Petersen,New Dawnton,101511,690,6143,3,75.0,True
551,Felicia Hobbs,Butlerville,34722,532,49999,38,25.0,False
552,Madison Chen,West Alicemouth,139392,453,22419,32,55.0,False
553,Brittany Nunez,Maddoxshire,78393,816,6903,14,95.0,True
554,Richard Hernandez,Christophershire,106350,350,36923,25,50.0,False
555,James Hamilton,Port Dennis,102420,502,32972,25,50.0,False
556,Christina Gilbert,East Charles,49410,740,22195,36,60.0,True
557,Michael Henderson,Jamesstad,86333,324,20976,10,50.0,False
558,Lisa Branch MD,South Brady,46704,539,14086,23,30.0,False
559,Nicholas Miller,East Stacyberg,35482,594,1900,21,55.0,False
560,Ashley Cole,West Jasonside,70404,516,14356,34,45.0,False
561,Deanna Webb,Lake Holly,77795,318,25681,37,45.0,False
562,Kelsey Scott,West Jamesview,147831,354,31471,0,40.0,False
563,Matthew Alvarado,Michelletown,134349,599,43559,24,65.0,True
564,James Bray,West Toddside,142814,390,13217,12,60.0,True
565,Judith House,North Johnhaven,35229,612,22860,31,40.0,False
566,Christopher Reed,Michaelport,147823,541,33850,17,55.0,False
567,Lori Johns,New Stacybury,76898,455,23399,25,45.0,False
568,Anita Reyes,South John,57535,456,28948,19,35.0,False
569,Erin Daniels,Lake Dillon,119399,507,10051,19,60.0,True
570,Stephanie Browning,Forbesberg,62706,461,21807,4,30.0,False
571,Tiffany Wilson,Maryberg,117416,330,21885,26,55.0,False
572,Elizabeth Reese,Edwinborough,43473,409,9620,11,35.0,False
573,William Jensen,New Jesse,76357,326,24544,5,40.0,False
574,Karen Shaw,Josephstad,132251,488,26392,31,55.0,False
575,Christopher Perez,Durantown,103385,576,28069,14,50.0,False
576,Virginia Todd,East Saramouth,145885,801,46079,20,90.0,True
577,Stacy Patterson,New Jillfurt,144650,620,26831,39,70.0,True
578,Laura Herrera,New Danielmouth,83264,343,17103,33,50.0,False
579,Victoria Williams,Blackton,111351,494,20082,28,55.0,False
580,Eric Carey,Jacksonport,128235,355,46216,33,50.0,False
581,Julie Lucas,Lake Vincentburgh,50257,438,26760,26,35.0,False
582,Alexander Chavez,South Christopher,61029,631,46332,10,50.0,False
583,Becky Wilson,Waltersland,143325,836,47352,24,90.0,True
584,Vanessa Salazar,South Andrea,51299,344,12199,21,45.0,False
585,Mary Hernandez,East Kayla,134842,352,28497,19,55.0,False
586,Randy Griffin,North Rachel,136269,507,1231,39,60.0,True
587,Alexandria Jimenez,Stephenstown,53206,805,16589,13,80.0,True
588,Karen Ortiz,New Carolbury,145528,584,41616,40,65.0,True
589,Samantha Williams,North Denise,84040,337,10527,2,40.0,False
590,Sara Evans,North Danielburgh,33248,465,45046,18,25.0,False
591,Melissa Larson,South Kara,53509,668,3348,5,60.0,True
592,Erica Merritt,Port Ronaldside,126542,366,20191,30,55.0,False
593,Michael Hill,Warrenborough,73540,359,8163,36,45.0,False
594,Lori Benitez,Ramseyport,132548,737,40901,20,75.0,True
595,Kenneth Hanson,New Anna,83964,832,48787,40,80.0,True
596,Dr. Stephen Hall IV,North David,135150,776,41990,7,80.0,True
597,Christine Gilbert,Gutierrezmouth,117806,658,37727,40,65.0,True
598,Martin Vaughn,Kristyport,143254,607,34206,35,70.0,True
599,Aaron Jennings,Randyshire,126345,329,12510,12,60.0,True
600,George Chambers,Roblesberg,136266,793,11183,40,95.0,True
601,Sean Huang,Bowerschester,62527,357,35149,19,35.0,False
602,Megan Peters,East Barbaramouth,64970,662,5339,9,60.0,True
603,Andre Terrell,New Catherine,50866,491,40006,7,30.0,False
604,Nicole Thornton,Jenniferview,133202,723,6688,31,85.0,True
605,Jacqueline Gallegos,Javierport,121917,479,8355,23,60.0,True
606,Paula Gentry,Hunterfort,44168,812,11097,12,70.0,True
607,John Russo,Kimberlyberg,80140,400,34826,8,35.0,False
608,Andrew Hughes,North Larryton,144316,389,22842,29,55.0,False
609,Ashley Miranda,Andrewport,35075,514,22029,12,25.0,False
610,Donald Flores,Lambertview,142537,452,11321,17,60.0,True
611,Tyler Castro,East Amyside,91694,626,18763,9,60.0,True
612,Regina Andrews,North Larry,59154,646,36427,28,50.0,False
613,Allen Berger,North Patrickland,56158,736,26684,11,60.0,True
614,Stephanie Soto,Jensenport,137031,640,13985,34,70.0,True
615,Thomas Duran,North Lisa,90332,779,7374,29,90.0,True
616,Matthew Miranda,Hallbury,75830,447,41431,16,40.0,False
617,Jenna Lyons,Kristinamouth,70001,764,32949,1,55.0,False
618,Brian Mendoza,West Katrina,137549,430,34288,6,50.0,False
619,Miguel Rodriguez,Port Kevinmouth,134247,710,39701,26,75.0,True
620,David Moore,Reyesmouth,144206,513,46485,37,50.0,False
621,William Bradley,Amybury,59831,477,44424,4,25.0,False
622,Michelle Copeland,New Caitlinmouth,59219,399,30177,11,35.0,False
623,Jared George,Murphyton,33101,392,15261,8,20.0,False
624,Stephanie Fields,Port Dwayneberg,116511,763,35816,18,85.0,True
625,Kenneth Gonzalez,Kevinport,55313,745,48041,22,70.0,True
626,Lauren Carr DDS,Port Kelly,82227,678,36971,3,55.0,False
627,Justin Irwin,Port Juliantown,73025,540,29292,37,35.0,False
628,Evan Reyes,Grahamborough,66517,477,32121,8,30.0,False
629,James Middleton,Mooreberg,143292,437,1760,4,50.0,False
630,Brianna Dyer,Proctorberg,39099,386,9992,26,30.0,False
631,Stephanie Dominguez,Hansonmouth,131361,821,28795,35,95.0,True
632,Janice Perez,Jacobsshire,66585,810,48901,15,75.0,True
633,Debra House,Arthurton,76025,794,47195,23,75.0,True
634,John Vaughn,Lake Jessica,114080,586,31470,33,65.0,True
635,Steve Davis,Mccoyland,96768,619,41176,3,45.0,False
636,Kimberly Smith,Huntfort,82386,639,28591,22,60.0,True
637,Thomas Curry,Bryanfort,119065,473,38542,3,40.0,False
638,Dorothy Mclaughlin,West Toddberg,140580,817,6037,17,100.0,True
639,Luis Hill,Alexisville,100282,478,39782,9,45.0,False
640,Jacqueline Thompson,South Henry,73404,840,3168,21,90.0,True
641,Dr. Linda Underwood,Mullinschester,33617,692,16594,28,50.0,False
642,Carol Lane,Brianview,45118,418,4442,10,40.0,False
643,John Alvarez,South Frances,144955,699,32102,16,80.0,True
644,Seth Smith,Reyesmouth,64237,842,45752,2,65.0,True
645,Joseph Gomez,Bishopview,53405,643,18716,17,55.0,False
646,Dawn Silva,Mejiabury,106099,499,35075,21,50.0,False
647,Wendy Edwards,Lake Alanland,64795,312,27951,6,30.0,False
648,Melissa Bell,Johnathanton,35014,324,41592,5,20.0,False
649,Kristopher Shannon,New Danielle,44208,422,6661,38,35.0,False
650,Matthew Yoder,North Heather,108193,559,20304,29,55.0,False
651,Angela Chavez,Kaylamouth,86959,563,11614,4,40.0,False
652,Antonio Price,West Stephanieview,75309,482,29873,4,35.0,False
653,Timothy Bishop Jr.,Rodriguezside,125491,741,15312,39,90.0,True
654,Susan Baldwin,North Charlesshire,133078,556,30221,1,40.0,False
655,Brittany Bowman,Lake Peterberg,71114,637,26646,36,55.0,False
656,Michael Wise,Grahamland,87199,531,1216,24,55.0,False
657,Sabrina Olson,Mathewport,109457,710,4617,40,85.0,True
658,Maria Diaz DVM,Christophermouth,97033,596,43453,12,55.0,False
659,Andrew Cruz,West Heather,45157,409,42328,22,25.0,False
660,Dr. Jeffrey Lopez,East Anthonyshire,80488,544,33062,24,40.0,False
661,Joshua Parker,Levytown,147899,337,23235,3,45.0,False
662,Nathan Sullivan,Port Desiree,105574,835,31039,34,90.0,True
663,Kerry Buckley,Lake Donaldtown,54914,782,41525,2,60.0,True
664,Matthew Smith,West Loriville,63386,767,41057,10,70.0,True
665,Amy Roth,South Brookebury,35817,364,14280,27,30.0,False
666,Russell Rojas,Nguyenshire,122901,440,22075,13,55.0,False
667,Leslie Rogers,West Donaldchester,87154,472,46632,23,40.0,False
668,Jessica Frost,East Craigfurt,30221,461,2024,31,40.0,False
669,Adam Howe,Robertfort,98146,429,14510,9,45.0,False
670,Kelly Jenkins,New Heather,135710,484,48002,31,50.0,False
671,Anita Serrano,Michaeltown,100575,541,13576,7,50.0,False
672,Dr. Lisa Huffman,South Kaylee,120027,513,19115,3,45.0,False
673,Robert Jennings,Jimenezburgh,124297,344,4540,23,60.0,True
674,Jeffrey Cook,Williamston,127248,850,12526,10,100.0,True
675,Karina Wilson,Lake Sean,126605,633,28463,12,70.0,True
676,Stephanie Hall,West Jeremybury,117900,722,14104,24,80.0,True
677,Angel Richards,South Dustinmouth,55825,482,26384,23,35.0,False
678,Nathan Chen,Jamesberg,77739,332,46364,36,40.0,False
679,Chad York,Barnesmouth,86531,525,20343,38,50.0,False
680,Robert Cisneros,New Tara,39171,535,6667,26,35.0,False
681,Katherine Forbes,Hoodview,117062,314,48842,27,45.0,False
682,Danielle Murphy,New Sophia,73279,305,28379,2,30.0,False
683,John Mack,South Amandafort,111678,400,30651,31,50.0,False
684,Justin Smith,Dodsonberg,71145,667,20384,15,55.0,False
685,Ann Castillo,Evanmouth,116951,324,30808,29,50.0,False
686,Shelly Sullivan,Courtneytown,141151,372,26223,21,55.0,False
687,Elizabeth Mullins,Port Gail,46334,643,49218,3,30.0,False
688,Susan Cox,North Patrickmouth,124339,341,24958,23,55.0,False
689,Justin Jones,East Tina,147970,544,36365,7,50.0,False
690,Nancy Goodwin,Port Julie,69363,530,22001,22,40.0,False
691,Kathy Henderson,North Nathanmouth,96469,797,33863,33,80.0,True
692,Julie Patel,Shannonstad,70538,367,13343,29,45.0,False
693,James White,North Fredville,117410,451,33527,9,45.0,False
694,Kelly Burton,Robertside,83528,435,32057,22,45.0,False
695,Oscar Smith,North Andrew,72753,537,35053,21,35.0,False
696,Grant Lucas,Toddhaven,82743,755,31015,19,80.0,True
697,Stephanie Parker,Jeremystad,121384,595,4101,9,70.0,True
698,Jesus Jackson,Lake Amanda,68752,486,12492,9,40.0,False
699,Bruce Chaney,South Jorge,102667,488,14445,35,55.0,False
700,Mary Spence,West Shane,46683,466,35972,19,25.0,False
701,Alexander Velazquez,South Sarah,55144,459,1281,34,50.0,False
702,Erin Thornton,Kempshire,85108,450,38043,28,40.0,False
703,Michael Wilson,South Christinabury,117153,756,24422,5,85.0,True
704,Lee Lee,Port Shari,79695,584,13826,1,50.0,False
705,Samuel Rhodes,New Prestonfort,118777,625,40529,38,65.0,True
706,Amy Estrada,Hernandezchester,128059,678,26304,23,80.0,True
707,Gregory Parker,Sawyerland,148332,520,48700,28,50.0,False
708,Jennifer Ramos,Port Jessica,52810,734,48749,26,60.0,True
709,Kevin Miller,West Thomas,110676,837,22981,4,85.0,True
710,Leslie Bennett,South Danielleview,104593,724,12461,35,80.0,True
711,Keith Melendez,East Marisa,69446,596,37298,31,50.0,False
712,Ronald Davenport,Troymouth,83225,529,2758,0,40.0,False
713,Eric Davidson,Martinezport,101819,727,12755,31,80.0,True
714,Maria Johnson,Trevorland,139278,670,39080,30,75.0,True
715,Sheena Burton,Mccannville,30053,682,34588,36,50.0,False
716,David Perkins,West Steven,69829,438,24421,10,40.0,False
717,Isaac Fields,Brandonport,67606,842,42873,4,65.0,True
718,Pamela White,New Karenside,57549,630,21723,19,55.0,False
719,Michael Cox,Madelinetown,86346,440,34958,18,40.0,False
720,John Peterson,North Jeffery,132990,815,15490,12,95.0,True
721,Kristin Norris,South Stevenland,106019,419,9600,1,45.0,False
722,Eric Cox,Prestonhaven,109516,650,12285,19,70.0,True
723,Robert Walker,Lake Jeremy,115813,428,14752,8,50.0,False
724,Mrs. Pamela Rodriguez,Port Toddchester,72237,343,13868,6,40.0,False
725,Matthew Watkins,Wilsonview,90946,344,5341,19,55.0,False
726,Nicole Patton,New Rachel,87905,489,44948,22,40.0,False
727,Charles Francis,Stacystad,87954,660,11522,32,65.0,True
728,Lisa Wagner,North Loritown,118555,841,15221,12,95.0,True
729,Carolyn Webster,Lake Coreyborough,58010,816,47383,30,75.0,True
730,Kevin Gonzales,East Maryfurt,97000,734,15042,32,75.0,True
731,Brian Rollins,South Danielberg,92021,807,24674,18,85.0,True
732,Amanda Murphy,South Justinport,134036,754,15802,35,90.0,True
733,William Patterson,Port Leahstad,148119,483,1837,31,60.0,True
734,Jennifer Mills,North Douglasfurt,134336,404,49590,10,50.0,False
735,William Morgan,Martinezchester,126463,811,19252,37,95.0,True
736,Nicole Owen,Kellyfurt,52241,796,34516,17,70.0,True
737,Jesse Martinez,Crawfordberg,116356,330,7527,3,50.0,False
738,Kathleen Johnson,South Cassandra,41114,634,11009,19,45.0,False
739,Anne Jones,Sparksborough,67196,600,44390,31,50.0,False
740,Dennis Cooper PhD,Port Anthonychester,97561,421,26141,28,45.0,False
741,James Stevens,East Angelaport,117012,468,33209,27,50.0,False
742,Mike Freeman,New Emilyside,112960,781,32189,35,85.0,True
743,Katie Myers,Garzafurt,111167,661,19640,20,70.0,True
744,Kevin Anderson,Michaelshire,73933,327,41970,21,35.0,False
745,Jeffrey Braun,Bellbury,42240,553,16376,19,30.0,False
746,Susan Jones,Dannyburgh,137272,320,36285,20,50.0,False
747,Matthew Henderson,Adamsfort,128453,322,21743,24,55.0,False
748,Erica Davis,Garciaborough,60784,644,33553,32,50.0,False
749,Mary Jackson,Michaelchester,118184,506,33568,40,50.0,False
750,Rachel Pittman,West Joseph,70687,604,38586,25,50.0,False
751,Lori Rubio,New Matthewland,59444,843,32147,27,75.0,True
752,Robert Pearson,Williamport,135717,743,44480,34,85.0,True
753,Jason King,Powersside,56100,484,2219,40,50.0,False
754,Shari Ray,Lake Suzanne,49313,778,18559,40,65.0,True
755,Lisa Hammond,Michaelton,33201,834,14149,23,65.0,True
756,David Francis,Meganchester,36057,626,5222,40,50.0,False
757,Jason Colon,West Gloria,62092,541,27598,15,35.0,False
758,Corey Sanchez,Stevenside,92277,746,28657,2,70.0,True
759,Dominic Johnson,Donnaburgh,110120,343,48348,31,45.0,False
760,Amy Mosley,Carolynland,141376,716,24818,5,75.0,True
761,Ryan Cameron,North Ashley,130727,812,8906,33,100.0,True
762,Lauren Hampton,Tylerland,39545,543,40309,7,20.0,False
763,Emily Collier,Shafferbury,89692,733,15287,9,70.0,True
764,Daniel Hill,Kingshire,84321,357,33136,34,45.0,False
765,Travis Stewart,Wellsbury,146147,584,10496,23,75.0,True
766,Jacob Parker,Port Joditon,112544,545,17579,35,55.0,False
767,Mark Haynes,New Michellemouth,105454,697,1515,25,85.0,True
768,Tabitha Turner,West Jason,55485,464,29760,40,35.0,False
769,Robert Newman,West Michellefort,124155,782,49296,26,85.0,True
770,Faith Henderson,Port Ethanview,121272,818,5349,22,100.0,True
771,Nicholas Kelley,Shawntown,80328,353,43033,11,40.0,False
772,Rachel Taylor,Gonzalezport,94799,621,38736,5,50.0,False
773,David Reeves,Port Brooke,82383,720,21932,28,70.0,True
774,Nicholas Green,Laurenborough,61979,386,28164,23,35.0,False
775,Shawn Duffy,North Stacy,49342,534,6831,29,35.0,False
776,Michael Jackson,Williamsonview,115990,452,6836,23,60.0,True
777,Keith Smith,Ayalamouth,120128,806,8766,14,100.0,True
778,Cheryl Atkins,Keithfort,30726,691,9532,27,55.0,False
779,Lindsay Carney,Jessicaborough,147002,728,12820,26,85.0,True
780,Alyssa Cherry,New Shannon,128430,554,25224,37,55.0,False
781,Judith Smith,Port Marcus,142779,707,46013,13,75.0,True
782,Michelle Fitzgerald,Charlesside,130931,360,4415,21,60.0,True
783,Kaitlin Gomez,North Jonfurt,146059,609,26866,23,70.0,True
784,Steven Williams,West Geoffrey,43970,804,23228,29,65.0,True
785,Evan Moreno,West Darryl,132029,345,9380,31,60.0,True
786,Sandy Adkins,Campbellview,85724,570,34880,20,40.0,False
787,Christopher Doyle,Gallagherberg,58683,750,4487,12,85.0,True
788,Michael Graham,Williamsstad,53053,796,30999,31,70.0,True
789,Nathan Hernandez,Claytonport,135396,484,12029,32,60.0,True
790,Kristine Alvarado,New Whitney,121214,304,35472,36,50.0,False
791,Thomas Sanchez,Rhodesmouth,97889,326,19630,7,45.0,False
792,Kevin Bean,Ericland,90889,771,47380,30,75.0,True
793,Tyler Wheeler,West Taramouth,36582,632,48942,36,40.0,False
794,Scott Solis,Marcuston,103060,372,36858,38,50.0,False
795,James Thompson,Davisborough,62662,466,26460,25,35.0,False
796,Paul Valdez,West Travischester,141193,617,45889,38,65.0,True
797,Max Collier,South Sean,45906,697,32223,17,50.0,False
798,Jenny Avila,Christinachester,89829,736,7091,2,70.0,True
799,Valerie Rhodes,South Alison,47477,837,6503,18,75.0,True
800,Bob Solis,Edgarberg,135043,607,17295,33,70.0,True
801,Keith Arnold,New Danielchester,90901,722,7192,29,80.0,True
802,Laura King,Brendahaven,117500,316,8466,29,60.0,True
803,Clarence Long,South Nancyport,99616,621,39483,29,60.0,True
804,Joanna Morton,Tammyburgh,103259,516,13129,5,50.0,False
805,Lindsey Savage,South Amandatown,108047,704,8646,0,70.0,True
806,John Holt,Turnerstad,71588,704,20834,5,60.0,True
807,Adrian Rodriguez,Lake Taratown,128992,514,32530,9,45.0,False
808,Jessica Garrett,North Kevin,146840,774,10710,30,95.0,True
809,Bruce Barrera,Maynardfort,88008,320,30459,37,45.0,False
810,Edward Gallegos,Williamstown,110301,405,42314,27,50.0,False
811,Sarah Mclaughlin,Benjaminfurt,136824,797,34643,37,85.0,True
812,Taylor Stein,Hallton,124276,840,2246,27,100.0,True
813,Kristen Adams,Smallville,146918,806,41809,22,90.0,True
814,Jeffrey Martin,South Maurice,96162,537,34268,14,45.0,False
815,Melinda Dorsey,Andersonport,85933,699,28319,23,70.0,True
816,Rebecca Richard,West Hannah,138864,388,44716,30,50.0,False
817,Curtis Obrien,Port Robertfort,148863,610,16382,13,70.0,True
818,Yvonne Howard,Michaelburgh,101810,478,33995,2,40.0,False
819,Gail Wilson,North Anna,88446,798,17896,21,85.0,True
820,Patricia Carrillo,Paulahaven,147598,406,47294,3,40.0,False
821,Jessica Bryant,North Kimberlyville,50861,342,34246,6,30.0,False
822,Bruce Harris,Ericport,127472,752,34154,31,85.0,True
823,Annette Holland,Loriville,142917,506,29777,26,55.0,False
824,Adriana Davenport,Petersonhaven,92216,475,6585,17,55.0,False
825,Paul Ward,East Karen,88991,842,28637,14,85.0,True
826,Jeffrey Hardin,Cranehaven,63972,670,2950,28,75.0,True
827,Adam Drake,North Matthewfurt,128536,468,29447,3,45.0,False
828,Andrew Nielsen,New Brian,62406,832,20380,26,80.0,True
829,Michael Spencer,Jennifermouth,140082,652,1517,17,75.0,True
830,Lisa Thomas,Griffinborough,113579,752,46709,22,80.0,True
831,Rachael Sullivan,West Christopher,66347,850,22921,24,80.0,True
832,Natalie Martinez,Jasonhaven,130376,619,35166,21,65.0,True
833,Caitlin Johnson,Johnport,131931,732,34113,7,70.0,True
834,Sarah Green,Davidville,98327,759,20527,36,85.0,True
835,Jody Bird,West Kevin,93517,443,47815,24,40.0,False
836,Samantha Ward,East Jenniferchester,112149,383,7045,3,50.0,False
837,Carlos Lewis,West Ericafurt,61358,831,26872,16,75.0,True
